Source,Target,Type,Id,Label,Weight,d1
Video Game Designer,Aaa (Video Game Industry),Directed,5536,,1,0
Video Game Designer,Advergame,Directed,5537,,1,0
Video Game Designer,Advertising In Video Games,Directed,5538,,1,0
Video Game Designer,Algorithm Design,Directed,5539,,1,0
Video Game Designer,Arcade Video Game,Directed,5540,,1,0
Video Game Designer,Art Game,Directed,5541,,1,0
Video Game Designer,Artificial Intelligence In Video Games,Directed,5542,,1,0
Video Game Designer,Battle Pass,Directed,5543,,1,0
Video Game Designer,Bonus Stage,Directed,5544,,1,0
Video Game Designer,Buy-To-Play,Directed,5545,,1,0
Video Game Designer,Capture The Flag,Directed,5546,,1,0
Video Game Designer,Casual Game,Directed,5547,,1,0
Video Game Designer,Character Creation,Directed,5548,,1,0
Video Game Designer,Cloud Gaming,Directed,5549,,1,0
Video Game Designer,Cooperative Video Game,Directed,5550,,1,0
Video Game Designer,Copy Protection,Directed,5551,,1,0
Video Game Designer,Critical Hit,Directed,5552,,1,0
Video Game Designer,Crowdfunding In Video Games,Directed,5553,,1,0
Video Game Designer,Cutscene,Directed,5554,,1,0
Video Game Designer,Deathmatch (Video Games),Directed,5555,,1,0
Video Game Designer,Dialogue Tree,Directed,5556,,1,0
Video Game Designer,Digital Distribution Of Video Games,Directed,5557,,1,0
Video Game Designer,Digital Rights Management,Directed,5558,,1,0
Video Game Designer,Downloadable Content,Directed,5559,,1,0
Video Game Designer,Early Access,Directed,5560,,1,0
Video Game Designer,Educational Video Game,Directed,5561,,1,0
Video Game Designer,Electronic Arts,Directed,5562,,1,0
Video Game Designer,Electronic Design Automation,Directed,5563,,1,0
Video Game Designer,Emergent Gameplay,Directed,5564,,1,0
Video Game Designer,Episodic Video Game,Directed,5565,,1,0
Video Game Designer,Exergaming,Directed,5566,,1,0
Video Game Designer,Expansion Pack,Directed,5567,,1,0
Video Game Designer,Experience Point,Directed,5568,,1,0
Video Game Designer,Fighting Game,Directed,5569,,1,0
Video Game Designer,Fog Of War,Directed,5570,,1,0
Video Game Designer,Form Factor (Design),Directed,5571,,1,0
Video Game Designer,Free-To-Play,Directed,5572,,1,0
Video Game Designer,Gacha Game,Directed,5573,,1,0
Video Game Designer,Gamasutra,Directed,5574,,1,0
Video Game Designer,Gamespot,Directed,5575,,1,0
Video Game Designer,Game Art Design,Directed,5576,,1,0
Video Game Designer,Game Creation System,Directed,5577,,1,0
Video Game Designer,Game Design,Directed,5578,,1,0
Video Game Designer,Game Engine,Directed,5579,,1,0
Video Game Designer,Game Mechanics,Directed,5580,,1,0
Video Game Designer,Game Over,Directed,5581,,1,0
Video Game Designer,Game Studies,Directed,5582,,1,0
Video Game Designer,Game Testing,Directed,5583,,1,0
Video Game Designer,Gameplay,Directed,5584,,1,0
Video Game Designer,Glossary Of Video Game Terms,Directed,5585,,1,0
Video Game Designer,Hud (Video Gaming),Directed,5586,,1,0
Video Game Designer,Isbn (Identifier),Directed,5587,,1,0
